hidden_label,input_port,output_port,target_real,target_imag,target_intensity,record_status
3,5,3,-6.6469650349250835e-18,0.0,4.418214417551662e-35,TARGET_NOT_A_MEASUREMENT
3,5,4,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
3,5,5,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
3,5,6,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
3,5,7,-0.16018862050852034,0.0,0.025660394140422742,TARGET_NOT_A_MEASUREMENT
3,6,0,-0.16018862050852029,0.0,0.025660394140422725,TARGET_NOT_A_MEASUREMENT
3,6,1,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
3,6,2,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
3,6,3,-6.6469650349250835e-18,0.0,4.418214417551662e-35,TARGET_NOT_A_MEASUREMENT
3,6,4,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
3,6,5,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
3,6,6,-0.16018862050852029,0.0,0.025660394140422725,TARGET_NOT_A_MEASUREMENT
3,6,7,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
3,7,0,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
3,7,1,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
3,7,2,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
3,7,3,3.1661128318485097e-18,0.0,1.002427046399579e-35,TARGET_NOT_A_MEASUREMENT
3,7,4,-0.16018862050852029,0.0,0.025660394140422725,TARGET_NOT_A_MEASUREMENT
3,7,5,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
3,7,6,0.5469181606780272,0.0,0.29911947447943643,TARGET_NOT_A_MEASUREMENT
3,7,7,-0.1601886205085203,0.0,0.025660394140422736,TARGET_NOT_A_MEASUREMENT
4,0,0,-5.872288506759818e-17,0.0,3.448377230662345e-33,TARGET_NOT_A_MEASUREMENT
4,0,1,-6.617720520273194e-17,0.0,4.379422488444491e-33,TARGET_NOT_A_MEASUREMENT
4,0,2,-6.617720520273194e-17,0.0,4.379422488444491e-33,TARGET_NOT_A_MEASUREMENT
4,0,3,-7.260067287541263e-17,0.0,5.270857701962676e-33,TARGET_NOT_A_MEASUREMENT
4,0,4,1.0,0.0,1.0,TARGET_NOT_A_MEASUREMENT
4,0,5,-7.260067287541263e-17,0.0,5.270857701962676e-33,TARGET_NOT_A_MEASUREMENT
4,0,6,-5.872288506759818e-17,0.0,3.448377230662345e-33,TARGET_NOT_A_MEASUREMENT
